Name,Nation,Team,Position,Age,Born,Matches,Starts,Minutes,90s,G+A,non_penalty_goals,penalty_goals,yellow_cards,red_cards,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,per90_Gls,per90_Ast,per90_G+A,per90_G-PK,per90_G+A-PK,per90_xG,per90_xAG,per90_xG+xAG,per90_npxG,per90_npxG+xAG,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKSV,PKm,PK_Save%,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att(GK),Thr,Launch%,Pass_AvgLen,GK_AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,xG_Shooting,npxG_Shooting,npxG/Sh,G-xG,np:G-xG,Pass_Cmp,Pass_Att,Pass_Cmp%,TotDist,PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xA,A-xAG,KP,1/3,PPA,CrsPA,Pass_Live,Pass_Dead,Pass_FK,Pass_TB,Pass_Sw,Pass_Crs,Pass_TI,Pass_CK,Corner_In,Corner_Out,Corner_Str,Pass_Cmp_Outcome,Pass_Off,Pass_Blocks,SCA,SCA90,SCA_type_PassLive,SCA_type_PassDead,SCA_type_TO,SCA_type_Sh,SCA_type_Fld,SCA_type_Def,GCA,GCA90,GCA_type_PassLive,GCA_type_PassDead,GCA_type_TO,GCA_type_Sh,GCA_type_Fld,GCA_type_Def,Tkl,TklW,Def_3rd,Mid_3rd,Att_3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Touches,Def_Pen,Att Pen,Live,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,PKwon,PKcon,Recov,Won,Lost,Won%,GK_Save%,Minutes_num
Jota Silva,pt POR,Nott'ham Forest,"FW,MF",24,1999,31,5,854,9.5,4,3,0,5,0,2.1,2.1,2.9,5.0,21,18,59,0.32,0.11,0.42,0.32,0.42,0.22,0.30,0.53,0.22,0.53,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,N/A,N/A,N/A,N/A,34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,23,7,30.4,2.42,0.74,0.13,0.43,14.5,0,2.1,2.1,0.09,+0.9,+0.9,118,196,60.2,1153,632,66,86,76.7,37,60,61.7,6,19,31.6,1,1.8,-1.9,14,13,9,3,191,3,0,1,1,21,2,1,0,0,0,118,2,12,29,3.06,22,0,1,3,3,0,3,0.32,2,0,0,0,1,0,27,14,83,104,181,6,27,22.2,21,9,1,8,12,39,17,0,357,19,46,357,10,29.4,15,44.1,175,9,24,12,N/A,28,25.0,68,0,26,20,6,1.71,16,16,0,0.00,+0.45,14.9,12.6,+2.4,+0.25,5,0,0,24,23,8,21,12,1,0,43,21,30,41.2,,854.0
Jahmai Simpson-Pusey,eng ENG,Manchester City,DF,18,2005,2,1,96,1.1,0,0,0,1,0,0.0,0.0,0.0,0.0,1,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,N/A,0.00,0.00,N/A,N/A,N/A,0,0.0,0.0,N/A,0.0,0.0,107,115,93.0,376,190,47,49,95.9,57,59,96.6,3,7,42.9,0,0.0,0.0,0,0,0,0,110,5,3,0,0,0,1,0,0,0,0,107,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,1,0,61,59,3,0,1,0.0,1,1,1,0,0,1,2,0,123,9,1,123,0,0.0,0,0.0,79,0,1,0,N/A,48,2.8,90,1,1,6,8,0.50,1,2,-1,-0.94,-0.70,2.2,2.3,-0.2,-0.14,1,0,0,0,1,0,0,0,0,0,3,1,3,25.0,,96.0
Luis Sinisterra,co COL,Bournemouth,"FW,MF",25,1999,12,1,236,2.6,2,1,0,0,0,1.2,1.2,1.4,2.6,19,6,38,0.38,0.38,0.76,0.38,0.76,0.46,0.54,1.00,0.46,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,13,6,46.2,4.96,2.29,0.08,0.17,14.8,0,1.2,1.2,0.09,-0.2,-0.2,73,93,78.5,744,393,44,48,91.7,22,32,68.8,5,5,100.0,1,1.3,-0.4,9,6,2,2,92,0,0,0,1,7,0,0,0,0,0,73,1,4,14,5.29,11,0,1,2,0,0,1,0.38,1,0,0,0,0,0,7,2,18,41,96,0,4,0.0,4,3,0,3,1,8,8,0,155,7,23,155,8,40.0,10,50.0,95,10,6,3,N/A,20,6.9,62,0,11,16,1,1.25,5,4,+1,+0.38,+0.62,6.5,3.9,+2.6,+0.98,0,0,0,4,2,1,7,1,0,0,17,3,7,30.0,,236.0
Oliver Skipp,eng ENG,Leicester City,MF,23,2000,24,10,"1,129",12.5,0,0,0,8,0,0.4,0.4,0.3,0.6,16,35,19,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,N/A,N/A,N/A,N/A,12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,5,1,20.0,0.40,0.08,0.00,0.00,19.4,0,0.4,0.4,0.07,-0.4,-0.4,419,502,83.5,1392,644,214,247,86.6,163,178,91.6,21,36,58.3,0,0.3,-0.3,9,7,4,0,497,4,3,2,0,5,1,0,0,0,0,419,1,12,15,1.20,13,1,0,0,1,0,0,0.00,0,0,0,0,0,0,21,4,141,383,92,9,15,60.0,6,23,7,16,11,32,11,2,612,29,9,612,7,58.3,5,41.7,347,3,12,7,N/A,47,33.0,74,3,14,28,11,0.79,12,26,-14,-1.12,-0.14,11.2,25.4,-14.1,-1.13,8,0,0,21,13,0,5,11,0,0,46,12,6,66.7,,1129.0
William Smallbone,ie IRL,Southampton,MF,24,2000,18,6,690,7.7,1,1,0,1,0,0.6,0.6,0.7,1.3,5,27,25,0.13,0.00,0.13,0.13,0.13,0.07,0.10,0.17,0.07,0.17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,1,N/A,0,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,7,1,14.3,0.91,0.13,0.14,1.00,17.6,0,0.6,0.6,0.08,+0.4,+0.4,270,356,75.8,787,397,130,154,84.4,112,131,85.5,20,53,37.7,0,0.9,-0.7,10,9,4,3,294,60,12,1,2,36,4,25,15,7,0,270,2,8,16,2.09,12,3,0,1,0,0,0,0.00,0,0,0,0,0,0,20,13,83,213,139,7,22,31.8,15,8,0,8,2,22,14,2,431,17,17,431,4,66.7,2,33.3,193,1,12,6,N/A,38,20.2,72,2,12,21,2,0.22,4,22,-18,-2.35,-0.21,7.0,18.8,-11.8,-1.54,1,0,0,11,3,0,36,2,0,1,23,4,6,40.0,,690.0
Adam Smith,eng ENG,Bournemouth,DF,33,1991,25,19,"1,590",17.7,0,0,0,7,0,0.7,0.7,0.4,1.1,15,49,34,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,N/A,N/A,N/A,N/A,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,3,0,0.0,0.17,0.00,0.00,N/A,16.9,0,0.7,0.7,0.22,-0.7,-0.7,514,679,75.7,1552,711,244,275,88.7,222,279,79.6,32,89,36.0,0,0.7,-0.4,8,18,10,5,550,128,9,1,2,33,119,0,0,0,0,514,1,15,23,1.30,17,1,1,0,3,1,2,0.11,1,0,0,0,1,0,24,12,240,394,197,14,27,51.9,13,13,5,8,15,39,49,1,825,41,8,825,6,37.5,7,43.8,366,1,13,7,N/A,64,46.5,75,7,6,28,1,1.48,25,18,+7,+0.40,+0.38,29.7,18.9,+10.8,+0.61,7,0,0,19,12,0,33,15,0,0,50,14,15,48.3,,1590.0
Emile Smith Rowe,eng ENG,Fulham,MF,24,2000,34,25,"2,043",22.7,9,6,0,3,0,4.5,4.5,1.4,6.0,53,126,127,0.26,0.13,0.40,0.26,0.40,0.20,0.06,0.26,0.20,0.26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,N/A,N/A,N/A,N/A,35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,37,11,29.7,1.63,0.48,0.16,0.55,16.0,0,4.5,4.5,0.12,+1.5,+1.5,922,1023,90.1,3728,1932,548,592,92.6,330,348,94.8,21,29,72.4,3,2.0,+1.6,24,40,15,1,985,35,6,2,2,16,3,1,0,0,0,922,3,18,73,3.22,57,0,3,8,2,3,12,0.53,10,0,1,0,0,1,31,18,166,591,476,8,24,33.3,16,22,2,20,11,42,16,0,1223,20,60,1223,16,45.7,16,45.7,779,12,36,18,N/A,60,59.7,73,0,9,24,0,1.38,29,28,+1,+0.04,+0.38,29.5,25.0,+4.5,+0.20,3,0,0,19,14,4,16,11,0,0,75,6,20,23.1,,2043.0
Dominic Solanke,eng ENG,Tottenham,FW,26,1997,27,25,"2,201",24.5,12,8,1,0,0,10.9,10.1,2.9,13.1,31,47,88,0.37,0.12,0.49,0.33,0.45,0.45,0.12,0.57,0.41,0.54,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,0,N/A,1,N/A,N/A,N/A,N/A,N/A,51,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,59,24,40.7,2.41,0.98,0.14,0.33,12.4,1,10.9,10.1,0.17,-1.9,-2.1,255,361,70.6,2126,848,154,205,75.1,68,87,78.2,12,18,66.7,3,1.2,+0.1,14,23,9,0,321,38,0,3,1,4,2,0,0,0,0,255,2,15,37,1.51,25,0,0,9,2,1,8,0.33,6,0,0,1,1,0,18,11,74,299,288,4,16,25.0,12,20,9,11,1,19,23,0,655,33,112,654,17,33.3,31,60.8,385,14,69,51,N/A,82,64.4,86,18,2,21,1,0.89,45,43,+2,+0.08,+0.30,40.4,40.6,-0.2,-0.01,0,0,0,36,36,5,4,1,0,0,38,46,60,43.4,,2201.0
Carlos Soler,es ESP,West Ham,"MF,FW",27,1997,31,14,"1,409",15.7,2,1,0,6,0,1.8,1.8,1.4,3.2,17,56,37,0.06,0.06,0.13,0.06,0.13,0.12,0.09,0.21,0.12,0.21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,1,N/A,0,N/A,N/A,N/A,N/A,N/A,18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,25,8,32.0,1.60,0.51,0.04,0.13,19.0,0,1.8,1.8,0.07,-0.8,-0.8,570,669,85.2,1806,783,308,326,94.5,212,246,86.2,32,59,54.2,1,1.9,-0.4,18,17,13,0,605,62,28,4,6,34,4,21,11,6,0,570,2,10,51,3.26,31,9,2,5,3,1,2,0.13,2,0,0,0,0,0,16,11,180,409,210,7,23,30.4,16,19,6,13,8,24,21,2,794,27,26,794,8,44.4,9,50.0,367,4,14,14,N/A,45,41.2,67,1,17,28,2,1.16,16,25,-9,-0.57,-0.67,16.8,28.2,-11.4,-0.73,6,0,0,26,19,0,34,8,0,0,64,10,12,45.5,,1409.0
Ramón Sosa,py PAR,Nott'ham Forest,"FW,MF",24,1999,19,1,295,3.3,1,1,0,1,0,1.0,1.0,0.5,1.5,12,6,17,0.31,0.00,0.31,0.31,0.31,0.31,0.15,0.45,0.31,0.45,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,N/A,N/A,N/A,N/A,13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,11,5,45.5,3.36,1.53,0.09,0.20,18.6,0,1.0,1.0,0.09,0.0,0.0,66,97,68.0,601,333,33,47,70.2,24,35,68.6,5,7,71.4,0,0.4,-0.5,8,7,5,3,86,10,2,0,1,8,4,4,2,1,0,66,1,2,14,4.23,11,0,2,1,0,0,0,0.00,0,0,0,0,0,0,5,3,36,48,77,1,5,20.0,4,9,0,9,4,9,5,0,154,6,15,154,8,61.5,5,38.5,75,5,6,5,N/A,16,8.6,67,0,18,13,13,1.58,3,5,-2,-0.61,-0.24,3.5,4.6,-1.0,-0.31,1,0,0,6,8,3,8,4,0,0,25,4,7,36.4,,295.0
Tomáš Souček,cz CZE,West Ham,MF,29,1995,35,30,"2,567",28.5,10,9,0,8,0,6.7,6.7,1.0,7.8,9,74,68,0.32,0.04,0.35,0.32,0.35,0.24,0.04,0.27,0.24,0.27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,N/A,N/A,N/A,N/A,12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,55,17,30.9,1.93,0.60,0.16,0.53,11.9,0,6.7,6.7,0.13,+2.3,+2.3,715,969,73.8,1553,559,364,457,79.6,265,343,77.3,65,97,67.0,1,1.3,0.0,14,12,8,1,946,20,17,0,11,14,3,0,0,0,0,715,3,26,44,1.54,35,0,0,6,2,1,3,0.11,2,0,0,0,1,0,46,21,355,626,303,26,44,59.1,18,41,21,20,20,66,85,1,1280,128,102,1280,6,50.0,6,50.0,506,3,20,15,N/A,73,75.1,81,20,5,27,1,1.23,38,44,-6,-0.21,+0.53,37.6,43.3,-5.7,-0.20,8,0,0,47,25,4,14,20,1,0,63,99,73,57.6,,2567.0
Boubakary Soumaré,fr FRA,Leicester City,MF,25,1999,31,25,"2,171",24.1,0,0,0,8,0,0.3,0.3,0.4,0.7,34,105,23,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,N/A,N/A,N/A,N/A,45,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,7,0,0.0,0.29,0.00,0.00,N/A,23.4,0,0.3,0.3,0.04,-0.3,-0.3,1073,1234,87.0,3904,2011,581,632,91.9,414,471,87.9,42,60,70.0,0,1.0,-0.4,11,19,16,3,1220,11,8,3,1,10,3,0,0,0,0,1073,3,15,35,1.45,27,0,5,1,2,0,3,0.12,3,0,0,0,0,0,37,20,386,903,166,21,33,63.6,12,22,10,12,27,64,34,4,1441,73,18,1441,27,60.0,14,31.1,847,4,24,22,N/A,70,63.5,83,19,6,15,4,0.65,17,52,-35,-1.45,-0.13,19.7,45.7,-26.1,-1.08,8,0,0,24,23,0,10,27,0,0,140,21,11,65.6,,2171.0
Djed Spence,eng ENG,Tottenham,DF,23,2000,25,19,"1,792",19.9,3,1,0,4,1,0.6,0.6,1.8,2.3,59,105,70,0.05,0.10,0.15,0.05,0.15,0.03,0.09,0.12,0.03,0.12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,0,N/A,1,N/A,N/A,N/A,N/A,N/A,76,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,10,3,30.0,0.50,0.15,0.10,0.33,23.9,0,0.6,0.6,0.06,+0.4,+0.4,992,1161,85.4,4661,2481,585,622,94.1,343,400,85.8,32,67,47.8,2,1.4,+0.2,11,44,18,8,974,183,30,2,2,25,153,0,0,0,0,992,4,19,29,1.46,23,1,4,1,0,0,5,0.25,3,1,1,0,0,0,47,34,500,641,309,23,30,76.7,7,28,9,19,21,68,74,2,1428,81,25,1428,38,50.0,31,40.8,794,7,28,33,N/A,72,52.4,89,17,6,16,8,1.08,33,39,-6,-0.30,-0.50,28.2,35.3,-7.1,-0.36,4,1,1,21,23,2,25,21,0,0,109,21,14,60.0,,1792.0
Jason Steele,eng ENG,Brighton,GK,33,1990,2,2,180,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0.50,4,3,75.0,2,0,0,1,50.0,0,0,0,0,N/A,0,0,0,0.5,0.12,-0.5,-0.26,7,0,43.8,110,7,50.0,25.1,43.0,22,2,9.1,3,1.50,15.4,0,0,0,N/A,0.00,0.00,N/A,N/A,N/A,0,0.0,0.0,N/A,0.0,0.0,101,112,90.2,361,151,21,21,100.0,63,65,96.9,17,26,65.4,0,0.0,0.0,0,0,0,0,104,8,6,0,0,0,0,0,0,0,0,101,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,114,0,0,0,0,N/A,0,0,0,0,0,0,1,0,114,107,0,114,0,N/A,0,N/A,91,0,0,0,N/A,90,5.3,90,2,0,N/A,24,3.00,5,1,+4,+2.00,+0.75,3.5,1.9,+1.6,+0.82,0,0,0,0,1,0,0,0,0,0,7,1,1,50.0,,180.0
Jack Stephens,eng ENG,Southampton,DF,30,1994,19,17,"1,389",15.4,1,1,0,2,2,0.6,0.6,0.2,0.7,14,63,2,0.06,0.00,0.06,0.06,0.06,0.04,0.01,0.05,0.04,0.05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,4,2,50.0,0.26,0.13,0.25,0.50,11.0,0,0.6,0.6,0.14,+0.4,+0.4,879,955,92.0,2996,1407,346,372,93.0,464,492,94.3,54,65,83.1,0,0.3,-0.2,3,12,5,0,912,42,19,0,2,1,15,0,0,0,0,879,1,4,13,0.84,13,0,0,0,0,0,0,0.00,0,0,0,0,0,0,34,20,461,543,97,17,30,56.7,13,20,13,7,13,47,53,2,1097,128,11,1097,0,0.0,4,100.0,631,1,3,3,N/A,73,40.6,81,12,2,6,4,0.53,8,28,-20,-1.30,+0.31,12.7,31.1,-18.3,-1.19,2,2,0,13,4,1,1,13,0,1,44,6,10,37.5,,1389.0
Raheem Sterling,eng ENG,Arsenal,"FW,MF",29,1994,17,7,499,5.5,2,0,0,1,0,1.4,1.4,0.5,1.9,27,18,79,0.00,0.36,0.36,0.00,0.36,0.26,0.09,0.34,0.26,0.34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,2,N/A,0,N/A,N/A,N/A,N/A,N/A,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,11,0,0.0,1.98,0.00,0.00,N/A,15.1,0,1.4,1.4,0.13,-1.4,-1.4,158,201,78.6,1407,750,103,117,88.0,43,57,75.4,3,4,75.0,2,0.5,+1.5,8,11,9,2,197,2,0,0,1,16,1,1,0,0,0,158,2,7,19,3.43,14,0,3,2,0,0,3,0.54,3,0,0,0,0,0,9,4,10,58,209,5,10,50.0,5,3,0,3,1,10,4,0,274,2,38,274,10,33.3,10,33.3,201,15,13,14,N/A,29,14.6,56,0,10,11,12,2.00,12,4,+8,+1.44,+0.27,9.1,4.1,+5.0,+0.90,1,0,0,12,8,4,16,1,0,0,16,1,3,25.0,,499.0
Ross Stewart,sct SCO,Southampton,FW,28,1996,12,4,389,4.3,1,1,0,1,0,1.1,1.1,0.0,1.1,3,2,10,0.23,0.00,0.23,0.23,0.23,0.25,0.00,0.25,0.25,0.25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,9,2,22.2,2.08,0.46,0.11,0.50,10.8,0,1.1,1.1,0.12,-0.1,-0.1,67,95,70.5,298,81,34,45,75.6,25,32,78.1,0,1,0.0,0,0.1,0.0,0,0,1,0,94,1,1,0,0,0,0,0,0,0,0,67,0,3,5,1.16,1,0,1,2,1,0,0,0.00,0,0,0,0,0,0,6,4,25,55,62,3,8,37.5,5,3,0,3,1,7,7,0,140,9,15,140,3,60.0,2,40.0,64,4,7,9,N/A,32,11.4,51,0,8,23,0,0.25,5,9,-4,-0.93,+0.07,3.9,9.6,-5.7,-1.31,1,0,0,7,7,1,0,1,0,0,6,13,23,36.1,,389.0
Jakub Stolarczyk,pl POL,Leicester City,GK,23,2000,10,10,900,10.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16,1.60,44,28,63.6,3,1,6,2,20.0,0,0,0,0,N/A,0,2,0,15.4,0.35,-0.6,-0.06,57,0,29.2,328,36,74.1,34.2,50.2,169,10,5.9,8,0.80,12.5,0,0,0,N/A,0.00,0.00,N/A,N/A,N/A,0,0.0,0.0,N/A,0.0,0.0,238,386,61.7,983,595,70,70,100.0,91,94,96.8,76,220,34.5,0,0.0,0.0,0,0,0,0,286,100,42,0,1,0,0,0,0,0,0,238,0,1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2,1,406,6,0,1,2,50.0,1,0,0,0,0,2,6,1,411,309,0,411,0,N/A,0,N/A,221,0,1,0,N/A,90,26.3,90,10,0,N/A,11,1.00,10,16,-6,-0.60,+0.72,9.4,14.4,-5.0,-0.50,1,0,0,0,0,0,0,0,0,0,8,5,0,100.0,,900.0
John Stones,eng ENG,Manchester City,"DF,MF",30,1994,11,6,548,6.1,2,2,0,1,0,0.4,0.4,0.1,0.5,10,21,2,0.33,0.00,0.33,0.33,0.33,0.07,0.01,0.08,0.07,0.08,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,2,2,100.0,0.33,0.33,1.00,1.00,5.1,0,0.4,0.4,0.22,+1.6,+1.6,367,403,91.1,2146,1183,169,179,94.4,161,174,92.5,31,40,77.5,0,0.2,-0.1,2,14,0,0,389,13,7,0,3,0,0,0,0,0,0,367,1,2,8,1.31,8,0,0,0,0,0,2,0.33,2,0,0,0,0,0,6,2,142,234,68,5,5,100.0,0,5,3,2,4,10,19,1,442,40,4,442,2,100.0,0,0.0,292,0,2,0,N/A,50,16.0,74,3,5,21,4,2.00,14,11,+3,+0.49,+0.16,9.8,5.7,+4.1,+0.67,1,0,0,2,2,0,0,4,0,0,22,8,6,57.1,,548.0
Jørgen Strand Larsen,no NOR,Wolves,FW,24,2000,35,30,"2,587",28.7,18,14,0,4,0,10.3,10.3,3.0,13.3,17,29,112,0.49,0.14,0.63,0.49,0.63,0.36,0.10,0.46,0.36,0.46,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14,54,33,61.1,1.88,1.15,0.26,0.42,11.3,0,10.3,10.3,0.19,+3.7,+3.7,295,457,64.6,1194,464,182,254,71.7,73,112,65.2,14,20,70.0,4,1.0,+1.0,21,14,4,1,443,14,0,1,2,6,0,0,0,0,0,295,0,19,42,1.46,33,1,1,3,2,2,6,0.21,6,0,0,0,0,0,10,6,85,348,304,4,27,14.8,23,19,4,15,6,16,29,0,736,36,108,736,8,40.0,11,55.0,345,9,90,34,N/A,74,75.6,80,11,5,35,0,1.11,43,52,-9,-0.31,0.00,32.3,43.2,-10.9,-0.38,4,0,0,46,19,16,6,6,0,0,42,67,100,40.1,,2587.0
Yukinari Sugawara,jp JPN,Southampton,"DF,MF",24,2000,30,16,"1,557",17.3,2,1,0,4,0,0.5,0.5,2.2,2.7,33,72,78,0.06,0.06,0.12,0.06,0.12,0.03,0.13,0.16,0.03,0.16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,1,N/A,0,N/A,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,14,5,35.7,0.81,0.29,0.07,0.20,20.2,0,0.5,0.5,0.03,+0.5,+0.5,713,891,80.0,2569,1384,377,427,88.3,282,339,83.2,37,76,48.7,1,2.5,-1.2,17,16,21,9,765,124,17,1,7,70,97,10,4,6,0,713,2,22,39,2.25,30,5,1,3,0,0,1,0.06,1,0,0,0,0,0,31,18,327,410,334,19,31,61.3,12,21,10,11,11,42,53,3,1066,67,29,1066,9,45.0,10,50.0,564,7,18,5,N/A,52,45.5,76,6,14,24,5,0.33,13,46,-33,-1.91,+0.05,16.9,40.2,-23.3,-1.34,4,0,0,15,10,4,70,11,0,2,44,5,9,35.7,,1557.0
Kamaldeen Sulemana,gh GHA,Southampton,"FW,MF",22,2002,26,17,"1,402",15.6,2,1,0,2,0,1.5,1.5,1.0,2.5,63,27,87,0.06,0.06,0.13,0.06,0.13,0.10,0.06,0.16,0.10,0.16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,N/A,N/A,N/A,N/A,103,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,29,8,27.6,1.86,0.51,0.03,0.13,18.6,0,1.5,1.5,0.05,-0.5,-0.5,285,357,79.8,3283,1620,177,201,88.1,86,103,83.5,13,28,46.4,1,0.8,0.0,10,37,13,7,354,2,0,0,2,26,2,0,0,0,0,285,1,9,30,1.93,15,1,10,3,1,0,3,0.19,1,0,1,1,0,0,22,17,92,219,301,10,15,66.7,5,16,4,12,6,28,9,0,587,17,59,587,39,37.9,56,54.4,380,28,50,25,N/A,54,41.0,74,5,9,16,2,0.27,11,36,-25,-1.60,-0.36,10.0,34.8,-24.7,-1.59,2,0,0,22,11,3,26,6,0,0,63,13,27,32.5,,1402.0
