Name,Age,Team,Price
Bernd Leno,33,Fulham FC,€13.5M
Santiago Bueno,26,Wolverhampton Wanderers,€13.5M
Tomáš Souček,30,West Ham United,€13.5M
Ao Tanaka,27,Leeds United,€13.4M
Daniel George Ballard,26,Sunderland AFC,€13.2M
Lucas Digne,32,Aston Villa,€13.2M
Oliver Scarles,19,West Ham United,€13.2M
Senne Lammens,23,Manchester United,€13.1M
Zeki Amdouni,24,Burnley FC,€13.1M
Omar Alderete,28,Sunderland AFC,€13M
Marcus Edwards,26,Burnley FC,€12.9M
Harry Maguire,32,Manchester United,€12.9M
Julio Soler,20,Bournemouth,€12.9M
Luke Shaw,30,Manchester United,€12.7M
Adam Aznou,19,Everton FC,€12.5M
Mathias Jensen,29,Brentford FC,€12.3M
Lamare Bogarde,21,Aston Villa,€12.3M
Kota Takai,21,Tottenham,€12.3M
Tim Iroegbunam,22,Everton FC,€12.2M
Nordi Mukiele,28,Sunderland AFC,€12.1M
Enes Ünal,28,Bournemouth,€12M
Joe Rodon,28,Leeds United,€11.9M
Merlin Röhl,23,Everton FC,€11.8M
Kalvin Phillips,29,Manchester City,€11.8M
Hugo Bueno,23,Wolverhampton Wanderers,€11.6M
Lyle Foster,25,Burnley FC,€11.3M
Daichi Kamada,29,Crystal Palace,€11.3M
Niclas Füllkrug,32,West Ham United,€11M
Ilia Gruev,25,Leeds United,€10.9M
Zian Flemming,27,Burnley FC,€10.9M
Christian Nørgaard,31,Arsenal FC,€10.7M
Altay Bayındır,27,Manchester United,€10.7M
Virgil van Dijk,34,Liverpool FC,€10.7M
Dan Neil,23,Sunderland AFC,€10.6M
Dennis Cirkin,23,Sunderland AFC,€10.5M
Ryan Christie,30,Bournemouth,€10.4M
Romaine Mundle,22,Sunderland AFC,€10.2M
Max Weiß,21,Burnley FC,€10M
John Victor,29,Nottingham Forest,€9.9M
Hee-chan Hwang,29,Wolverhampton Wanderers,€9.7M
Will Hughes,30,Crystal Palace,€9.7M
Jonah Kusi-Asare,18,Fulham FC,€9.6M
Frank Onyeka,27,Brentford FC,€9.5M
Trey Nyoni,18,Liverpool FC,€9.3M
Jack Hinshelwood,20,Brighton & Hove Albion,€9.2M
Justin Devenny,22,Crystal Palace,€8.9M
Issa Diop,28,Fulham FC,€8.8M
Alphonse Areola,32,West Ham United,€8.8M
Josh Cullen,29,Burnley FC,€8.7M
Lucas Pires,24,Burnley FC,€8M
Andrés García,22,Aston Villa,€7.9M
José Sá,32,Wolverhampton Wanderers,€7.6M
James Ward-Prowse,31,West Ham United,€7.6M
James Hill,23,Bournemouth,€7.6M
Matz Sels,33,Nottingham Forest,€7.5M
Victor Lindelöf,31,Aston Villa,€7.2M
Casemiro,33,Manchester United,€7.2M
Sebastiaan Bornauw,26,Leeds United,€7.2M
Jefferson Lerma,31,Crystal Palace,€7.2M
Guido Rodríguez,31,West Ham United,€7.2M
Wataru Endo,32,Liverpool FC,€7.1M
Raheem Sterling,30,Chelsea,€7M
Chris Wood,33,Nottingham Forest,€6.9M
Adama Traoré,29,Fulham FC,€6.6M
Ethan Pinnock,32,Brentford FC,€6.5M
James Tarkowski,32,Everton FC,€6.5M
Stefan Ortega,33,Manchester City,€6.4M
Kepa Arrizabalaga,31,Arsenal FC,€6.4M
Adam Webster,30,Brighton & Hove Albion,€6.4M
Jacob Bruun Larsen,27,Burnley FC,€6.3M
Tyrell Malacia,26,Manchester United,€6.3M
Jorge Cuenca,25,Fulham FC,€6.2M
Romelle Donovan,18,Brentford FC,€6.1M
Nick Pope,33,Newcastle United,€6.1M
Gabriel Slonina,21,Chelsea,€6.1M
Chido Obi,17,Manchester United,€6M
Sam Johnstone,32,Wolverhampton Wanderers,€6M
Rodrigo Muniz,24,Fulham FC,€6M
Lukas Nmecha,26,Leeds United,€6M
Mike Tresor,26,Burnley FC,€5.8M
Walter Benítez,32,Crystal Palace,€5.8M
